Date,NFLX
27-12-2018,247.845001
28-12-2018,255.8550035
31-12-2018,265.050003
02-01-2019,263.1649935
03-01-2019,270.110001
04-01-2019,288.1699985
07-01-2019,309.224991
08-01-2019,314.300003
09-01-2019,318.425003
10-01-2019,318.9349975
11-01-2019,334.8049925
14-01-2019,332.305008
15-01-2019,352.1100005
16-01-2019,353.4799955
17-01-2019,351.1000065
18-01-2019,344.8650055
22-01-2019,328.955002
23-01-2019,325.175003
24-01-2019,325.399994
25-01-2019,334.255005
28-01-2019,332.5899965
29-01-2019,333.1849975
30-01-2019,336.2899935
31-01-2019,342.039993
01-02-2019,341.669998
04-02-2019,346.649994
05-02-2019,356.449997
06-02-2019,352.1150055
07-02-2019,343.8849945
08-02-2019,343
11-02-2019,348.8399965
12-02-2019,353.2599945
13-02-2019,354.9400025
14-02-2019,354.3899995
15-02-2019,359.949997
19-02-2019,360.1600035
20-02-2019,361.7050015
21-02-2019,358.3650055
22-02-2019,363.0899965
25-02-2019,367.6399995
26-02-2019,362.5149995
27-02-2019,363.9149935
28-02-2019,362.050003
01-03-2019,358.7799985
04-03-2019,355.1450045
05-03-2019,352.2100065
06-03-2019,355.7900085
07-03-2019,356.6799925
08-03-2019,346.195007
11-03-2019,354.505005
12-03-2019,356.9649965
13-03-2019,357.625
14-03-2019,360.970001
15-03-2019,361.4450075
18-03-2019,366.414993
19-03-2019,361.8799895
20-03-2019,366.455002
21-03-2019,374.8049925
22-03-2019,368.235001
25-03-2019,362.2400055
26-03-2019,363.199997
27-03-2019,356.419998
28-03-2019,352.570007
29-03-2019,355.9799955
01-04-2019,363.4199985
02-04-2019,365.320007
03-04-2019,369.800003
04-04-2019,367.224991
05-04-2019,367.229996
08-04-2019,362.9349975
09-04-2019,362.869995
10-04-2019,365.550003
11-04-2019,365.4649965
12-04-2019,355.5549925
15-04-2019,347.23999
16-04-2019,358.600006
17-04-2019,359.680008
18-04-2019,356.0250095
22-04-2019,368.345001
23-04-2019,379.7549895
24-04-2019,377.5849915
25-04-2019,370.230011
26-04-2019,370.6900025
29-04-2019,371.849991
30-04-2019,371.425003
01-05-2019,379.5800015
02-05-2019,379.005005
03-05-2019,381.649994
06-05-2019,378.675003
07-05-2019,372.860001
08-05-2019,365.1799925
09-05-2019,358.475006
10-05-2019,359.160004
13-05-2019,348.680008
14-05-2019,346.225006
15-05-2019,348.9450075
16-05-2019,358.970001
17-05-2019,356.705002
20-05-2019,348.9100035
21-05-2019,353.179993
22-05-2019,363.8799895
23-05-2019,352.5600125
24-05-2019,356.6150055
28-05-2019,357.425003
29-05-2019,349.875
30-05-2019,351.2549895
31-05-2019,346.1300045
03-06-2019,340.154999
04-06-2019,348.4299925
05-06-2019,353.294998
06-06-2019,355.1499935
07-06-2019,360.419998
10-06-2019,358.1950075
11-06-2019,353.0399935
12-06-2019,348.419998
13-06-2019,343.875
14-06-2019,339.779999
17-06-2019,346.9149935
18-06-2019,357.625
19-06-2019,360.4299925
20-06-2019,365.669998
21-06-2019,368.225006
24-06-2019,372.600006
25-06-2019,364.6450045
26-06-2019,364.1950075
27-06-2019,367.025009
28-06-2019,368.205002
01-07-2019,374.330002
02-07-2019,373.154999
03-07-2019,378.914993
05-07-2019,378.479996
08-07-2019,376.8049925
09-07-2019,381.130005
10-07-2019,373.5099945
11-07-2019,381.6699985
12-07-2019,376.2649995
15-07-2019,367.9899905
16-07-2019,368.1300045
17-07-2019,364.125
18-07-2019,325.074997
19-07-2019,320.0400085
22-07-2019,310.1750035
23-07-2019,309.75
24-07-2019,313.619995
25-07-2019,321.994995
26-07-2019,331.75
29-07-2019,332.5849915
30-07-2019,326.4400025
31-07-2019,325.149994
01-08-2019,323.6599885
02-08-2019,315.604996
05-08-2019,309.050003
06-08-2019,308.5899965
07-08-2019,300.904999
08-08-2019,311.494995
09-08-2019,311.160004
12-08-2019,308.0650025
13-08-2019,312.2949985
14-08-2019,303.210007
15-08-2019,294.3150025
16-08-2019,299.9099885
19-08-2019,308.25
20-08-2019,301.3399965
21-08-2019,299.5400085
22-08-2019,296.7399905
23-08-2019,294.6650085
26-08-2019,294.725006
27-08-2019,291.9850005
28-08-2019,290.2850035
29-08-2019,297.4599915
30-08-2019,294.895004
03-09-2019,290.979996
04-09-2019,289.4450075
05-09-2019,288.380005
06-09-2019,290.1900025
09-09-2019,296.074997
10-09-2019,289.9150085
11-09-2019,288.6299895
12-09-2019,289.6650085
13-09-2019,293.330002
16-09-2019,293.604996
17-09-2019,295.4700015
18-09-2019,291.75
19-09-2019,288.604996
20-09-2019,274.25
23-09-2019,267.640015
24-09-2019,258.6399995
25-09-2019,260.1500015
26-09-2019,264.125
27-09-2019,263.9150085
30-09-2019,265.830002
01-10-2019,268.1150055
02-10-2019,265.770004
03-10-2019,262.925003
04-10-2019,270.975006
07-10-2019,273.979996
08-10-2019,273.085007
09-10-2019,267.7850035
10-10-2019,272.779999
11-10-2019,285.1049955
14-10-2019,284.4649965
15-10-2019,282.6349945
16-10-2019,284.4550015
17-10-2019,298.524994
18-10-2019,282.1299895
21-10-2019,274.470001
22-10-2019,270.604996
23-10-2019,270.275009
24-10-2019,271.4099885
25-10-2019,273.974991
28-10-2019,281.550003
29-10-2019,280.979996
30-10-2019,288.244995
31-10-2019,288.1150055
01-11-2019,286.069992
04-11-2019,291.2750095
05-11-2019,288.75
06-11-2019,288.199997
07-11-2019,293.2299955
08-11-2019,290.75
11-11-2019,292.4299925
